-- Logs begin at Mon 2023-08-21 11:34:55 UTC, end at Mon 2023-08-21 17:27:55 UTC. --
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.295: [gmm] ERROR: [suci-0-999-70-0000-0-0-0000000201] HTTP response error [400] (../src/amf/gmm-sm.c:1475)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.319: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[23] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.319: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[24] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.319: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[25] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.320: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[26] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.320: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[27] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.320: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[29] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.320: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[28] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.320: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[30] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.323: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[31] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.348: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[33] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.348: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[32] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.349: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[34] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.349: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[35] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.349: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[36] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.349: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[37] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.349: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[38] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.350: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[39] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.350: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[40] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.350: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[41] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.351: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[42] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.351: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[43] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.351: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[44] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.351: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[45] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.351: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[46] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.352: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[47] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.353: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[48] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.377: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[49] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.377: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[50] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.377: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[51] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.378: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[52] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.378: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[53] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.378: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[54] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.378: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[55] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.379: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[56] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.379: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[57] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.379: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[62] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.379: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[58] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.379: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[59] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.380: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[60] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.380: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[61] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.380: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[63] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.380: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[64] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.380: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[65] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.381: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[66] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.403: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[67] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.403: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[68] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.403: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[69] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.404: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[70] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.404: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[71] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.404: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[72] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.404: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[73] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.405: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[74] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.405: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[75] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.405: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[76] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.406: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[78] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.406: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[77] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.406: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[79] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.406: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[80] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.407: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[81] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.407: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[82] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.407: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[83] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.408: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[84] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.430: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[85] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.431: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[86] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.431: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[87] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.431: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[89] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.431: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[88] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.432: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[90] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.432: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[91] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.432: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[92] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.432: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[93] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.433: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[94] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.433: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[95] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.433: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[96] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.433: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[97] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.434: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[98] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.434: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[99] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.434: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[100] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.434: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[101] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.435: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[102] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.436: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[103] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.458: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[104] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.459: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[105] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.459: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[106] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.459: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[107] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.459: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[108] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.460: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[109] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.460: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[110] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.460: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[112] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.460: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[111] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.460: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[114] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.461: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[113] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.461: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[116] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.461: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[115] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.461: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[117] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.461: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[118] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.462: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[119] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.463: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[120] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.464: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[121] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.486: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[123] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.487: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[122] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.487: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[124] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.487: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[125] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.488: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[126] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.488: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[127] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.488: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[128] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.488: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[129] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.488: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[130] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.489: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[131] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.489: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[133] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.489: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[132] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.489: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[134] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.490: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[135] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.490: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[136] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.514: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[137] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.514: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[138] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.514: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[139] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.515: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[140] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.515: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[141] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.515: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[142] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.515: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[143] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.516: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[144] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.516: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[145] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.516: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[146] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.516: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[152] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.516: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[147] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.517: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[148] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.517: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[153] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.518: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[149] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.542: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[150] (../src/amf/ngap-handler.c:623)
Aug 21 17:26:27 open5gs open5gs-amfd[70893]: 08/21 17:26:27.542: [amf] ERROR: No RAN UE Context : AMF_UE_NGAP_ID[151] (../src/amf/ngap-handler.c:623)
